Study course,Semester,Module code,Name of course,Type,Lecturer WiSe 21/22,Format WiSe 20/21,Day/Time WS 21/22,Room WS 21/22,Further Information WS 21/22
MSE,1,none,Onboarding freshers,"extracurricular, voluntary",Mrs. E. Buksmann/student tutors,digital,Friday 16:00 - 17:15,moodle/webex,"further information: https://moodle.hochschule-rhein-waal.de/course/view.php?id=7086room: https://hsrw.info/onboardingfreshers"
MSE,1,2000,Introductory Mathematics,Lecture,Prof. Dr. W. Megill / Dr. T. Camps,digital,Monday 08:00 - 10:00,moodle/webex,further information on moodle/webex
MSE,1,2000,Introductory Mathematics,Exercise,Mrs. C. Neh,digital,"Monday 16:00 - 18:00 1st/2nd group biweeklyThursday 14:00 - 16:00 1st groupFriday 10:00 - 12:00 2nd group",moodle/webex,further information on moodle/webex
MSE,1,2000,Introductory Mathematics,Exercise,Dr. T. Camps,digital,"Monday 16:00 - 18:00 3rd groupFriday 10:00 - 12:00 3rd group biweekly kick off 08.10.21",moodle/webex,further information on moodle/webex
MSE,1,2008,Statics and Strength of Materials,Lecture,Prof. Dr.-Ing. H. Schütte,digital,,moodle/webex,further information on moodle/webex
MSE,1,2008,Statics and Strength of Materials,Exercise,Prof. Dr.-Ing. H. Schütte / Mr. A. Hinkle,digital,Friday 12:00 - 14:00,moodle/webex,further information on moodle/webex
MSE,1,2011,Programming,Lecture,Prof. Dr. M. Krauledat,digital,Tuesday 10:00 - 12:00,moodle/webex,further information on moodle/webex
MSE,1,2011,Programming,Practical Training,Prof. Dr. M. Krauledat / Dr. T. Camps,digital,"Monday 12:00 - 14:00 kick off 04.10.21Thursday 10:00 - 12:00 kick off 30.09.21",moodle/webex,further information on moodle/webex
MSE,1,2013,Business Economics,Lecture,Prof. Dr. D. Berndsen,digital,,moodle/webex,further information on moodle/webex
MSE,1,2013,Project Management,Lecture,Prof. Dr.-Ing. D. Untiedt,digital,Tuesday 12:00 - 14:00 biweekly kick off 28.09.21,moodle/webex,further information on moodle/webex
MSE,1,2013,Project Management,Practical Training,Mr. M. Schlösser / Mrs. C. Derksen,digital,Monday 10:00 - 12:00 4 groups biweekly,moodle/webex,further information on moodle/webex
MSE,1,2305,Fundamentals of Electrical Engineering,Lecture,Prof. Dr.-Ing. G. Gehnen,digital,Tuesday 08:00- 10:00,moodle/webex,further information on moodle/webex
MSE,1,2305,Fundamentals of Electrical Engineering,Exercise,Prof. Dr. A. Stamm,digital,Thursday 12:00 - 14:00 2 groups biweekly kick off 07.10.21,moodle/webex,further information on moodle/webex
MSE,1,2305,Fundamentals of Electrical Engineering,Practical Training,Prof. Dr. R. Hartanto / Mr. F. Kremer,in presence,Wednesday 10:00 - 18:00,05 EG 008,further information on moodle/webex
MSE,1,2900,Introduction to Engineering,Lecture,Prof. Dr.-Ing. T. Brandt,digital,Tuesday 14:00 - 16:00 last 7 weeks,moodle/webex,further information on moodle/webex
MSE,1,2900,"Introduction to Engineering: Part desriptive Statistics andReporting",Lecture,Prof. Dr. A. Struck,in presence,Wednesday 08:00 - 10:00 first 7 weeks,01 EG 010,further information on moodle/webex
MSE,1,2900,"Introduction to Engineering: Part Basics of Communication& Selfmanagement",Seminar,Mrs. A. Viermann,digital,"Monday 14:00 - 16:00 2 groups: 1st half/2nd half of semesterThursday 08:00 - 10:00 2 groups: 1st half/2nd half of semesterkick off 27.09.21 14:00 - 16:00",moodle/webex,group organization in moodle / webex
MSE,3,2010,Dynamics,L/E,Prof. Dr. N. Østergaard,digital,Monday 15:00 - 16:00,moodle/webex,further information on moodle/webex
MSE,3,2010,Dynamics,L/E,Prof. Dr. N. Østergaard,in presence,Wednesday 08.00 - 10:00,2A EG 002,further information on moodle/webex
MSE,3,2108,Materials and Testing,Lecture,Prof. Dr.-Ing. R. Sicking,digital,Monday 10:00 - 12:00,moodle/webex,further information on moodle/webex
MSE,3,2108,Materials and Testing,Exercise,Prof. Dr.-Ing. R. Sicking,digital,Tuesday 14:00 - 16:00 2 groups biweekly,moodle/webex,further information on moodle/webex
MSE,3,2108,Materials and Testing,Practical Training,Prof. Dr.-Ing. R. Sicking / Dr. T. Krenzel,in presence,Wednesday 12:00 - 14:00,05 03 029,further information on moodle/webex
